,Component-value,Component-alias,Demographic-value,Demographic-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,ATTR(Demographic (copy))-alias,Citizenship Grouping,Title of Authority
32,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JAN,JAN,132,Unaccompanied Children (UC) / Single Minors,all,all
33,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,DEC,DEC,113,Unaccompanied Children (UC) / Single Minors,all,all
34,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,NOV,NOV,116,Unaccompanied Children (UC) / Single Minors,all,all
35,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,123,Unaccompanied Children (UC) / Single Minors,all,all
36,Office of Field Operations,Office of Field Operations,FMUA,FMUA,%all%,%all%,26831,Individuals in a Family Unit (FMUA),all,all
37,Office of Field Operations,Office of Field Operations,FMUA,FMUA,AUG,AUG,6733,Individuals in a Family Unit (FMUA),all,all
38,Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUL,JUL,6927,Individuals in a Family Unit (FMUA),all,all
39,Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUN,JUN,5790,Individuals in a Family Unit (FMUA),all,all
40,Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAY,MAY,3931,Individuals in a Family Unit (FMUA),all,all
41,Office of Field Operations,Office of Field Operations,FMUA,FMUA,APR,APR,1797,Individuals in a Family Unit (FMUA),all,all
42,Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAR,MAR,721,Individuals in a Family Unit (FMUA),all,all
43,Office of Field Operations,Office of Field Operations,FMUA,FMUA,FEB,FEB,301,Individuals in a Family Unit (FMUA),all,all
44,Office of Field Operations,Office of Field Operations,FMUA,FMUA,JAN,JAN,230,Individuals in a Family Unit (FMUA),all,all
45,Office of Field Operations,Office of Field Operations,FMUA,FMUA,DEC,DEC,158,Individuals in a Family Unit (FMUA),all,all
46,Office of Field Operations,Office of Field Operations,FMUA,FMUA,NOV,NOV,130,Individuals in a Family Unit (FMUA),all,all
47,Office of Field Operations,Office of Field Operations,FMUA,FMUA,OCT,OCT,113,Individuals in a Family Unit (FMUA),all,all
48,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,38369,Single Adults,all,all
49,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,AUG,AUG,5859,Single Adults,all,all
50,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUL,JUL,5430,Single Adults,all,all
51,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUN,JUN,4218,Single Adults,all,all
52,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAY,MAY,3683,Single Adults,all,all
53,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,APR,APR,2998,Single Adults,all,all
54,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAR,MAR,3027,Single Adults,all,all
55,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,2871,Single Adults,all,all
56,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JAN,JAN,2630,Single Adults,all,all
57,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,2495,Single Adults,all,all
58,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,2609,Single Adults,all,all
59,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,2549,Single Adults,all,all
60,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,1472655,%many-values%,all,all
61,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,AUG,AUG,195558,%many-values%,all,all
62,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUL,JUL,200599,%many-values%,all,all
63,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUN,JUN,178635,%many-values%,all,all
64,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAY,MAY,172620,%many-values%,all,all
65,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,APR,APR,173703,%many-values%,all,all
66,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAR,MAR,169220,%many-values%,all,all
67,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,97643,%many-values%,all,all
68,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JAN,JAN,75317,%many-values%,all,all
69,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,DEC,DEC,71142,%many-values%,all,all
70,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,NOV,NOV,69169,%many-values%,all,all
71,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,69049,%many-values%,all,all
72,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,130710,Unaccompanied Children (UC) / Single Minors,all,all
73,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,AUG,AUG,18534,Unaccompanied Children (UC) / Single Minors,all,all
74,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JUL,JUL,18685,Unaccompanied Children (UC) / Single Minors,all,all
75,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JUN,JUN,15024,Unaccompanied Children (UC) / Single Minors,all,all
76,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAY,MAY,13880,Unaccompanied Children (UC) / Single Minors,all,all
77,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,APR,APR,16900,Unaccompanied Children (UC) / Single Minors,all,all
78,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAR,MAR,18718,Unaccompanied Children (UC) / Single Minors,all,all
79,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,FEB,FEB,9264,Unaccompanied Children (UC) / Single Minors,all,all
80,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JAN,JAN,5688,Unaccompanied Children (UC) / Single Minors,all,all
81,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,DEC,DEC,4852,Unaccompanied Children (UC) / Single Minors,all,all
82,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,NOV,NOV,4475,Unaccompanied Children (UC) / Single Minors,all,all
83,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,OCT,OCT,4690,Unaccompanied Children (UC) / Single Minors,all,all
84,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,388354,Individuals in a Family Unit (FMUA),all,all
85,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,AUG,AUG,79754,Individuals in a Family Unit (FMUA),all,all
86,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUL,JUL,76566,Individuals in a Family Unit (FMUA),all,all
87,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUN,JUN,50103,Individuals in a Family Unit (FMUA),all,all
88,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAY,MAY,40811,Individuals in a Family Unit (FMUA),all,all
89,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,APR,APR,48300,Individuals in a Family Unit (FMUA),all,all
90,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAR,MAR,53411,Individuals in a Family Unit (FMUA),all,all
91,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,FEB,FEB,19289,Individuals in a Family Unit (FMUA),all,all
92,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JAN,JAN,7066,Individuals in a Family Unit (FMUA),all,all
93,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,DEC,DEC,4248,Individuals in a Family Unit (FMUA),all,all
94,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,NOV,NOV,4172,Individuals in a Family Unit (FMUA),all,all
95,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,4634,Individuals in a Family Unit (FMUA),all,all
96,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,953591,Single Adults,all,all
97,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,AUG,AUG,97270,Single Adults,all,all
98,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUL,JUL,105348,Single Adults,all,all
99,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUN,JUN,113508,Single Adults,all,all
100,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAY,MAY,117929,Single Adults,all,all
101,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,APR,APR,108503,Single Adults,all,all
102,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAR,MAR,97091,Single Adults,all,all
103,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,FEB,FEB,69090,Single Adults,all,all
104,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JAN,JAN,62563,Single Adults,all,all
105,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,DEC,DEC,62042,Single Adults,all,all
106,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,NOV,NOV,60522,Single Adults,all,all
107,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,59725,Single Adults,all,all
108,%all%,%all%,%all%,%all%,%all%,%all%,1541651,%many-values%,all,all
109,%all%,%all%,%all%,%all%,AUG,AUG,208887,%many-values%,all,all
110,%all%,%all%,%all%,%all%,JUL,JUL,213534,%many-values%,all,all
111,%all%,%all%,%all%,%all%,JUN,JUN,189020,%many-values%,all,all
112,%all%,%all%,%all%,%all%,MAY,MAY,180563,%many-values%,all,all
113,%all%,%all%,%all%,%all%,APR,APR,178799,%many-values%,all,all
114,%all%,%all%,%all%,%all%,MAR,MAR,173281,%many-values%,all,all
115,%all%,%all%,%all%,%all%,FEB,FEB,101099,%many-values%,all,all
116,%all%,%all%,%all%,%all%,JAN,JAN,78414,%many-values%,all,all
117,%all%,%all%,%all%,%all%,DEC,DEC,73995,%many-values%,all,all
118,%all%,%all%,%all%,%all%,NOV,NOV,72113,%many-values%,all,all
119,%all%,%all%,%all%,%all%,OCT,OCT,71946,%many-values%,all,all
0,Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,47829,%many-values%,all,Title 8
1,Office of Field Operations,Office of Field Operations,%all%,%all%,AUG,AUG,11062,%many-values%,all,Title 8
2,Office of Field Operations,Office of Field Operations,%all%,%all%,JUL,JUL,10899,%many-values%,all,Title 8
3,Office of Field Operations,Office of Field Operations,%all%,%all%,JUN,JUN,8492,%many-values%,all,Title 8
4,Office of Field Operations,Office of Field Operations,%all%,%all%,MAY,MAY,6040,%many-values%,all,Title 8
5,Office of Field Operations,Office of Field Operations,%all%,%all%,APR,APR,3345,%many-values%,all,Title 8
6,Office of Field Operations,Office of Field Operations,%all%,%all%,MAR,MAR,2058,%many-values%,all,Title 8
7,Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,1509,%many-values%,all,Title 8
8,Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,1322,%many-values%,all,Title 8
9,Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,1106,%many-values%,all,Title 8
10,Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,1002,%many-values%,all,Title 8
11,Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,994,%many-values%,all,Title 8
12,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,%all%,%all%,499,Accompanied Minors (AM),all,Title 8
13,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,AUG,AUG,171,Accompanied Minors (AM),all,Title 8
14,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JUL,JUL,28,Accompanied Minors (AM),all,Title 8
15,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JUN,JUN,41,Accompanied Minors (AM),all,Title 8
16,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,MAY,MAY,40,Accompanied Minors (AM),all,Title 8
17,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,APR,APR,42,Accompanied Minors (AM),all,Title 8
18,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,MAR,MAR,62,Accompanied Minors (AM),all,Title 8
19,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,FEB,FEB,55,Accompanied Minors (AM),all,Title 8
20,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JAN,JAN,19,Accompanied Minors (AM),all,Title 8
21,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,DEC,DEC,23,Accompanied Minors (AM),all,Title 8
22,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,NOV,NOV,7,Accompanied Minors (AM),all,Title 8
23,Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,OCT,OCT,11,Accompanied Minors (AM),all,Title 8
24,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,1821,Unaccompanied Children (UC) / Single Minors,all,Title 8
25,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,AUG,AUG,313,Unaccompanied Children (UC) / Single Minors,all,Title 8
26,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUL,JUL,273,Unaccompanied Children (UC) / Single Minors,all,Title 8
27,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JUN,JUN,208,Unaccompanied Children (UC) / Single Minors,all,Title 8
28,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAY,MAY,174,Unaccompanied Children (UC) / Single Minors,all,Title 8
29,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,APR,APR,167,Unaccompanied Children (UC) / Single Minors,all,Title 8
30,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,MAR,MAR,154,Unaccompanied Children (UC) / Single Minors,all,Title 8
31,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,FEB,FEB,138,Unaccompanied Children (UC) / Single Minors,all,Title 8
32,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JAN,JAN,132,Unaccompanied Children (UC) / Single Minors,all,Title 8
33,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,DEC,DEC,111,Unaccompanied Children (UC) / Single Minors,all,Title 8
34,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,NOV,NOV,79,Unaccompanied Children (UC) / Single Minors,all,Title 8
35,Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,72,Unaccompanied Children (UC) / Single Minors,all,Title 8
36,Office of Field Operations,Office of Field Operations,FMUA,FMUA,%all%,%all%,26831,Individuals in a Family Unit (FMUA),all,Title 8
37,Office of Field Operations,Office of Field Operations,FMUA,FMUA,AUG,AUG,6733,Individuals in a Family Unit (FMUA),all,Title 8
38,Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUL,JUL,6927,Individuals in a Family Unit (FMUA),all,Title 8
39,Office of Field Operations,Office of Field Operations,FMUA,FMUA,JUN,JUN,5790,Individuals in a Family Unit (FMUA),all,Title 8
40,Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAY,MAY,3931,Individuals in a Family Unit (FMUA),all,Title 8
41,Office of Field Operations,Office of Field Operations,FMUA,FMUA,APR,APR,1797,Individuals in a Family Unit (FMUA),all,Title 8
42,Office of Field Operations,Office of Field Operations,FMUA,FMUA,MAR,MAR,721,Individuals in a Family Unit (FMUA),all,Title 8
43,Office of Field Operations,Office of Field Operations,FMUA,FMUA,FEB,FEB,301,Individuals in a Family Unit (FMUA),all,Title 8
44,Office of Field Operations,Office of Field Operations,FMUA,FMUA,JAN,JAN,230,Individuals in a Family Unit (FMUA),all,Title 8
45,Office of Field Operations,Office of Field Operations,FMUA,FMUA,DEC,DEC,158,Individuals in a Family Unit (FMUA),all,Title 8
46,Office of Field Operations,Office of Field Operations,FMUA,FMUA,NOV,NOV,130,Individuals in a Family Unit (FMUA),all,Title 8
47,Office of Field Operations,Office of Field Operations,FMUA,FMUA,OCT,OCT,113,Individuals in a Family Unit (FMUA),all,Title 8
48,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,18678,Single Adults,all,Title 8
49,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,AUG,AUG,3845,Single Adults,all,Title 8
50,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUL,JUL,3671,Single Adults,all,Title 8
51,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JUN,JUN,2453,Single Adults,all,Title 8
52,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAY,MAY,1895,Single Adults,all,Title 8
53,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,APR,APR,1339,Single Adults,all,Title 8
54,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,MAR,MAR,1121,Single Adults,all,Title 8
55,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,1015,Single Adults,all,Title 8
56,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JAN,JAN,941,Single Adults,all,Title 8
57,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,814,Single Adults,all,Title 8
58,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,786,Single Adults,all,Title 8
59,Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,798,Single Adults,all,Title 8
60,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,535027,%many-values%,all,Title 8
61,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,AUG,AUG,104411,%many-values%,all,Title 8
62,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUL,JUL,106431,%many-values%,all,Title 8
63,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JUN,JUN,75613,%many-values%,all,Title 8
64,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAY,MAY,61160,%many-values%,all,Title 8
65,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,APR,APR,62857,%many-values%,all,Title 8
66,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,MAR,MAR,61972,%many-values%,all,Title 8
67,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,25325,%many-values%,all,Title 8
68,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JAN,JAN,12787,%many-values%,all,Title 8
69,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,DEC,DEC,10546,%many-values%,all,Title 8
70,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,NOV,NOV,7881,%many-values%,all,Title 8
71,U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,6044,%many-values%,all,Title 8
72,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,126043,Unaccompanied Children (UC) / Single Minors,all,Title 8
73,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,AUG,AUG,18508,Unaccompanied Children (UC) / Single Minors,all,Title 8
74,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JUL,JUL,18685,Unaccompanied Children (UC) / Single Minors,all,Title 8
75,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JUN,JUN,15024,Unaccompanied Children (UC) / Single Minors,all,Title 8
76,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAY,MAY,13880,Unaccompanied Children (UC) / Single Minors,all,Title 8
77,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,APR,APR,16899,Unaccompanied Children (UC) / Single Minors,all,Title 8
78,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,MAR,MAR,18718,Unaccompanied Children (UC) / Single Minors,all,Title 8
79,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,FEB,FEB,9260,Unaccompanied Children (UC) / Single Minors,all,Title 8
80,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JAN,JAN,5670,Unaccompanied Children (UC) / Single Minors,all,Title 8
81,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,DEC,DEC,4852,Unaccompanied Children (UC) / Single Minors,all,Title 8
82,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,NOV,NOV,2993,Unaccompanied Children (UC) / Single Minors,all,Title 8
83,U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,OCT,OCT,1554,Unaccompanied Children (UC) / Single Minors,all,Title 8
84,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,279938,Individuals in a Family Unit (FMUA),all,Title 8
85,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,AUG,AUG,63514,Individuals in a Family Unit (FMUA),all,Title 8
86,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUL,JUL,66463,Individuals in a Family Unit (FMUA),all,Title 8
87,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JUN,JUN,42074,Individuals in a Family Unit (FMUA),all,Title 8
88,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAY,MAY,31491,Individuals in a Family Unit (FMUA),all,Title 8
89,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,APR,APR,30366,Individuals in a Family Unit (FMUA),all,Title 8
90,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,MAR,MAR,31839,Individuals in a Family Unit (FMUA),all,Title 8
91,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,FEB,FEB,9811,Individuals in a Family Unit (FMUA),all,Title 8
92,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JAN,JAN,2520,Individuals in a Family Unit (FMUA),all,Title 8
93,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,DEC,DEC,916,Individuals in a Family Unit (FMUA),all,Title 8
94,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,NOV,NOV,531,Individuals in a Family Unit (FMUA),all,Title 8
95,U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,413,Individuals in a Family Unit (FMUA),all,Title 8
96,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,129046,Single Adults,all,Title 8
97,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,AUG,AUG,22389,Single Adults,all,Title 8
98,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUL,JUL,21283,Single Adults,all,Title 8
99,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JUN,JUN,18515,Single Adults,all,Title 8
100,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAY,MAY,15789,Single Adults,all,Title 8
101,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,APR,APR,15592,Single Adults,all,Title 8
102,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,MAR,MAR,11415,Single Adults,all,Title 8
103,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,FEB,FEB,6254,Single Adults,all,Title 8
104,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JAN,JAN,4597,Single Adults,all,Title 8
105,U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,DEC,DEC,4778,Single Adults,all,Title 8
