Component-value,Component-alias,Demographic-value,Demographic-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,ATTR(Demographic (copy))-alias,Citizenship Grouping,Title of Authority
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,DEC,DEC,49436,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,NOV,NOV,43278,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,41560,FMUA,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,554418,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,FEB,FEB,121296,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JAN,JAN,108714,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,DEC,DEC,109457,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,NOV,NOV,110013,Single Adults,all,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,104938,Single Adults,all,all
%all%,%all%,%all%,%all%,%all%,%all%,838685,%many-values%,all,all
%all%,%all%,%all%,%all%,FEB,FEB,164973,%many-values%,all,all
%all%,%all%,%all%,%all%,JAN,JAN,154745,%many-values%,all,all
%all%,%all%,%all%,%all%,DEC,DEC,179256,%many-values%,all,all
%all%,%all%,%all%,%all%,NOV,NOV,174870,%many-values%,all,all
%all%,%all%,%all%,%all%,OCT,OCT,164841,%many-values%,all,all
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,25103,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,4572,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,4807,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,6342,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,5494,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,3888,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,%all%,%all%,329,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,FEB,FEB,44,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JAN,JAN,64,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,DEC,DEC,73,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,NOV,NOV,80,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,OCT,OCT,68,Accompanied Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,865,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,FEB,FEB,201,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JAN,JAN,143,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,DEC,DEC,177,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,NOV,NOV,184,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,160,UC / Single Minors,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,%all%,%all%,8466,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,FEB,FEB,1556,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JAN,JAN,1581,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,DEC,DEC,2308,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,NOV,NOV,1782,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,OCT,OCT,1239,FMUA,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,15443,Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,2771,Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JAN,JAN,3019,Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,3784,Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,3448,Single Adults,all,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,2421,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,375819,%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,68888,%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JAN,JAN,70488,%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,DEC,DEC,90861,%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,NOV,NOV,79165,%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,66417,%many-values%,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,58494,UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,FEB,FEB,11808,UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JAN,JAN,8616,UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,DEC,DEC,11708,UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,NOV,NOV,13744,UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,OCT,OCT,12618,UC / Single Minors,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,136635,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,FEB,FEB,17253,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JAN,JAN,21942,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,DEC,DEC,37628,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,NOV,NOV,31662,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,28150,FMUA,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,180690,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,FEB,FEB,39827,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JAN,JAN,39930,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,DEC,DEC,41525,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,NOV,NOV,33759,Single Adults,all,Title 8
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,25649,Single Adults,all,Title 8
%all%,%all%,%all%,%all%,%all%,%all%,400922,%many-values%,all,Title 8
%all%,%all%,%all%,%all%,FEB,FEB,73460,%many-values%,all,Title 8
%all%,%all%,%all%,%all%,JAN,JAN,75295,%many-values%,all,Title 8
%all%,%all%,%all%,%all%,DEC,DEC,97203,%many-values%,all,Title 8
%all%,%all%,%all%,%all%,NOV,NOV,84659,%many-values%,all,Title 8
%all%,%all%,%all%,%all%,OCT,OCT,70305,%many-values%,all,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,10944,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,2269,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,2190,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,2311,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,2337,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,1837,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,%all%,%all%,932,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,FEB,FEB,185,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JAN,JAN,174,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,DEC,DEC,231,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,NOV,NOV,223,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,OCT,OCT,119,Accompanied Minors,all,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,10012,Single Adults,all,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,2084,Single Adults,all,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JAN,JAN,2016,Single Adults,all,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,2080,Single Adults,all,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,2114,Single Adults,all,Title 42
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,1718,Single Adults,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,426819,%many-values%,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,89244,%many-values%,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JAN,JAN,77260,%many-values%,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,DEC,DEC,79742,%many-values%,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,NOV,NOV,87874,%many-values%,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,92699,%many-values%,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,9,UC / Single Minors,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,FEB,FEB,2,UC / Single Minors,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JAN,JAN,1,UC / Single Minors,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,DEC,DEC,2,UC / Single Minors,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,NOV,NOV,4,UC / Single Minors,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,53082,FMUA,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,FEB,FEB,7773,FMUA,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JAN,JAN,8475,FMUA,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,DEC,DEC,11808,FMUA,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,NOV,NOV,11616,FMUA,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,13410,FMUA,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,373728,Single Adults,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,FEB,FEB,81469,Single Adults,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JAN,JAN,68784,Single Adults,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,DEC,DEC,67932,Single Adults,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,NOV,NOV,76254,Single Adults,all,Title 42
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,79289,Single Adults,all,Title 42
%all%,%all%,%all%,%all%,%all%,%all%,437763,%many-values%,all,Title 42
%all%,%all%,%all%,%all%,FEB,FEB,91513,%many-values%,all,Title 42
%all%,%all%,%all%,%all%,JAN,JAN,79450,%many-values%,all,Title 42
%all%,%all%,%all%,%all%,DEC,DEC,82053,%many-values%,all,Title 42
%all%,%all%,%all%,%all%,NOV,NOV,90211,%many-values%,all,Title 42
%all%,%all%,%all%,%all%,OCT,OCT,94536,%many-values%,all,Title 42
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,494,%many-values%,El Salvador,all
Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,149,%many-values%,El Salvador,all
Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,108,%many-values%,El Salvador,all
Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,117,%many-values%,El Salvador,all
Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,78,%many-values%,El Salvador,all
Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,42,%many-values%,El Salvador,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,%all%,%all%,7,Accompanied Minors,El Salvador,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,FEB,FEB,1,Accompanied Minors,El Salvador,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,JAN,JAN,1,Accompanied Minors,El Salvador,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,DEC,DEC,4,Accompanied Minors,El Salvador,all
Office of Field Operations,Office of Field Operations,Accompanied Minors,AM,OCT,OCT,1,Accompanied Minors,El Salvador,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,32,UC / Single Minors,El Salvador,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,FEB,FEB,10,UC / Single Minors,El Salvador,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JAN,JAN,8,UC / Single Minors,El Salvador,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,DEC,DEC,4,UC / Single Minors,El Salvador,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,NOV,NOV,2,UC / Single Minors,El Salvador,all
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,8,UC / Single Minors,El Salvador,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,%all%,%all%,284,FMUA,El Salvador,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,FEB,FEB,97,FMUA,El Salvador,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JAN,JAN,65,FMUA,El Salvador,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,DEC,DEC,72,FMUA,El Salvador,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,NOV,NOV,38,FMUA,El Salvador,all
Office of Field Operations,Office of Field Operations,FMUA,FMUA,OCT,OCT,12,FMUA,El Salvador,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,171,Single Adults,El Salvador,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,41,Single Adults,El Salvador,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JAN,JAN,34,Single Adults,El Salvador,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,37,Single Adults,El Salvador,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,38,Single Adults,El Salvador,all
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,21,Single Adults,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,40773,%many-values%,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,6967,%many-values%,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JAN,JAN,5697,%many-values%,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,DEC,DEC,8762,%many-values%,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,NOV,NOV,9587,%many-values%,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,OCT,OCT,9760,%many-values%,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,%all%,%all%,6806,UC / Single Minors,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,FEB,FEB,1128,UC / Single Minors,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,JAN,JAN,942,UC / Single Minors,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,DEC,DEC,1342,UC / Single Minors,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,NOV,NOV,1730,UC / Single Minors,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,UC / Single Minors,UC / Single Minors,OCT,OCT,1664,UC / Single Minors,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,%all%,%all%,13673,FMUA,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,FEB,FEB,1510,FMUA,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,JAN,JAN,1296,FMUA,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,DEC,DEC,2926,FMUA,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,NOV,NOV,3837,FMUA,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,FMUA,FMUA,OCT,OCT,4104,FMUA,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,%all%,%all%,20294,Single Adults,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,FEB,FEB,4329,Single Adults,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,JAN,JAN,3459,Single Adults,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,DEC,DEC,4494,Single Adults,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,NOV,NOV,4020,Single Adults,El Salvador,all
U.S. Border Patrol,U.S. Border Patrol,Single Adults,Single Adults,OCT,OCT,3992,Single Adults,El Salvador,all
%all%,%all%,%all%,%all%,%all%,%all%,41267,%many-values%,El Salvador,all
%all%,%all%,%all%,%all%,FEB,FEB,7116,%many-values%,El Salvador,all
%all%,%all%,%all%,%all%,JAN,JAN,5805,%many-values%,El Salvador,all
%all%,%all%,%all%,%all%,DEC,DEC,8879,%many-values%,El Salvador,all
%all%,%all%,%all%,%all%,NOV,NOV,9665,%many-values%,El Salvador,all
%all%,%all%,%all%,%all%,OCT,OCT,9802,%many-values%,El Salvador,all
Office of Field Operations,Office of Field Operations,%all%,%all%,%all%,%all%,432,%many-values%,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,FEB,FEB,140,%many-values%,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,JAN,JAN,100,%many-values%,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,DEC,DEC,96,%many-values%,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,NOV,NOV,69,%many-values%,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,%all%,%all%,OCT,OCT,27,%many-values%,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,%all%,%all%,32,UC / Single Minors,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,FEB,FEB,10,UC / Single Minors,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,JAN,JAN,8,UC / Single Minors,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,DEC,DEC,4,UC / Single Minors,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,NOV,NOV,2,UC / Single Minors,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,UC / Single Minors,UC / Single Minors,OCT,OCT,8,UC / Single Minors,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,%all%,%all%,284,FMUA,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,FEB,FEB,97,FMUA,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,JAN,JAN,65,FMUA,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,DEC,DEC,72,FMUA,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,NOV,NOV,38,FMUA,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,FMUA,FMUA,OCT,OCT,12,FMUA,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,%all%,%all%,116,Single Adults,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,FEB,FEB,33,Single Adults,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,JAN,JAN,27,Single Adults,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,DEC,DEC,20,Single Adults,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,NOV,NOV,29,Single Adults,El Salvador,Title 8
Office of Field Operations,Office of Field Operations,Single Adults,Single Adults,OCT,OCT,7,Single Adults,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,%all%,%all%,16764,%many-values%,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,FEB,FEB,2392,%many-values%,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,JAN,JAN,1928,%many-values%,El Salvador,Title 8
U.S. Border Patrol,U.S. Border Patrol,%all%,%all%,DEC,DEC,3366,%many-values%,El Salvador,Title 8
