,Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
2,2020,2020,SEP,SEP,7607,all,all,all,Title 8
3,2018,2018,AUG,AUG,46719,all,all,all,Title 8
4,2019,2019,AUG,AUG,62707,all,all,all,Title 8
5,2020,2020,AUG,AUG,5561,all,all,all,Title 8
6,2021 (FYTD),2021 (FYTD),AUG,AUG,115473,all,all,all,Title 8
7,2018,2018,JUL,JUL,40149,all,all,all,Title 8
8,2019,2019,JUL,JUL,81777,all,all,all,Title 8
9,2020,2020,JUL,JUL,4058,all,all,all,Title 8
10,2021 (FYTD),2021 (FYTD),JUL,JUL,117330,all,all,all,Title 8
11,2018,2018,JUN,JUN,43180,all,all,all,Title 8
12,2019,2019,JUN,JUN,104311,all,all,all,Title 8
13,2020,2020,JUN,JUN,3220,all,all,all,Title 8
14,2021 (FYTD),2021 (FYTD),JUN,JUN,84105,all,all,all,Title 8
15,2018,2018,MAY,MAY,51862,all,all,all,Title 8
16,2019,2019,MAY,MAY,144116,all,all,all,Title 8
17,2020,2020,MAY,MAY,2342,all,all,all,Title 8
18,2021 (FYTD),2021 (FYTD),MAY,MAY,67200,all,all,all,Title 8
19,2018,2018,APR,APR,51168,all,all,all,Title 8
20,2019,2019,APR,APR,109415,all,all,all,Title 8
21,2020,2020,APR,APR,1584,all,all,all,Title 8
22,2021 (FYTD),2021 (FYTD),APR,APR,66202,all,all,all,Title 8
23,2018,2018,MAR,MAR,50347,all,all,all,Title 8
24,2019,2019,MAR,MAR,103731,all,all,all,Title 8
25,2020,2020,MAR,MAR,27310,all,all,all,Title 8
26,2021 (FYTD),2021 (FYTD),MAR,MAR,64030,all,all,all,Title 8
27,2018,2018,FEB,FEB,36751,all,all,all,Title 8
28,2019,2019,FEB,FEB,76545,all,all,all,Title 8
29,2020,2020,FEB,FEB,36687,all,all,all,Title 8
30,2021 (FYTD),2021 (FYTD),FEB,FEB,26834,all,all,all,Title 8
31,2018,2018,JAN,JAN,35905,all,all,all,Title 8
32,2019,2019,JAN,JAN,58317,all,all,all,Title 8
33,2020,2020,JAN,JAN,36585,all,all,all,Title 8
34,2021 (FYTD),2021 (FYTD),JAN,JAN,14109,all,all,all,Title 8
35,2018,2018,DEC,DEC,40519,all,all,all,Title 8
36,2019,2019,DEC,DEC,60794,all,all,all,Title 8
37,2020,2020,DEC,DEC,40565,all,all,all,Title 8
38,2021 (FYTD),2021 (FYTD),DEC,DEC,11652,all,all,all,Title 8
39,2018,2018,NOV,NOV,39051,all,all,all,Title 8
40,2019,2019,NOV,NOV,62469,all,all,all,Title 8
41,2020,2020,NOV,NOV,42643,all,all,all,Title 8
42,2021 (FYTD),2021 (FYTD),NOV,NOV,8883,all,all,all,Title 8
43,2018,2018,OCT,OCT,34871,all,all,all,Title 8
44,2019,2019,OCT,OCT,60781,all,all,all,Title 8
45,2020,2020,OCT,OCT,45139,all,all,all,Title 8
46,2021 (FYTD),2021 (FYTD),OCT,OCT,7038,all,all,all,Title 8
0,2020,2020,SEP,SEP,50067,all,all,all,Title 42
1,2020,2020,AUG,AUG,44453,all,all,all,Title 42
2,2021 (FYTD),2021 (FYTD),AUG,AUG,93414,all,all,all,Title 42
3,2020,2020,JUL,JUL,36871,all,all,all,Title 42
4,2021 (FYTD),2021 (FYTD),JUL,JUL,96204,all,all,all,Title 42
5,2020,2020,JUN,JUN,29829,all,all,all,Title 42
6,2021 (FYTD),2021 (FYTD),JUN,JUN,104915,all,all,all,Title 42
7,2020,2020,MAY,MAY,20895,all,all,all,Title 42
8,2021 (FYTD),2021 (FYTD),MAY,MAY,113363,all,all,all,Title 42
9,2020,2020,APR,APR,15522,all,all,all,Title 42
10,2021 (FYTD),2021 (FYTD),APR,APR,112597,all,all,all,Title 42
11,2020,2020,MAR,MAR,7150,all,all,all,Title 42
12,2021 (FYTD),2021 (FYTD),MAR,MAR,109251,all,all,all,Title 42
13,2021 (FYTD),2021 (FYTD),FEB,FEB,74265,all,all,all,Title 42
14,2021 (FYTD),2021 (FYTD),JAN,JAN,64305,all,all,all,Title 42
15,2021 (FYTD),2021 (FYTD),DEC,DEC,62343,all,all,all,Title 42
16,2021 (FYTD),2021 (FYTD),NOV,NOV,63230,all,all,all,Title 42
17,2021 (FYTD),2021 (FYTD),OCT,OCT,64908,all,all,all,Title 42
0,2018,2018,SEP,SEP,93,all,all,Accompanied Minors,all
1,2019,2019,SEP,SEP,74,all,all,Accompanied Minors,all
2,2020,2020,SEP,SEP,87,all,all,Accompanied Minors,all
3,2018,2018,AUG,AUG,100,all,all,Accompanied Minors,all
4,2019,2019,AUG,AUG,86,all,all,Accompanied Minors,all
5,2020,2020,AUG,AUG,101,all,all,Accompanied Minors,all
6,2021 (FYTD),2021 (FYTD),AUG,AUG,424,all,all,Accompanied Minors,all
7,2018,2018,JUL,JUL,121,all,all,Accompanied Minors,all
8,2019,2019,JUL,JUL,87,all,all,Accompanied Minors,all
9,2020,2020,JUL,JUL,68,all,all,Accompanied Minors,all
10,2021 (FYTD),2021 (FYTD),JUL,JUL,305,all,all,Accompanied Minors,all
11,2018,2018,JUN,JUN,118,all,all,Accompanied Minors,all
12,2019,2019,JUN,JUN,68,all,all,Accompanied Minors,all
13,2020,2020,JUN,JUN,56,all,all,Accompanied Minors,all
14,2021 (FYTD),2021 (FYTD),JUN,JUN,169,all,all,Accompanied Minors,all
15,2018,2018,MAY,MAY,119,all,all,Accompanied Minors,all
16,2019,2019,MAY,MAY,70,all,all,Accompanied Minors,all
17,2020,2020,MAY,MAY,30,all,all,Accompanied Minors,all
18,2021 (FYTD),2021 (FYTD),MAY,MAY,155,all,all,Accompanied Minors,all
19,2018,2018,APR,APR,130,all,all,Accompanied Minors,all
20,2019,2019,APR,APR,92,all,all,Accompanied Minors,all
21,2020,2020,APR,APR,18,all,all,Accompanied Minors,all
22,2021 (FYTD),2021 (FYTD),APR,APR,134,all,all,Accompanied Minors,all
23,2018,2018,MAR,MAR,138,all,all,Accompanied Minors,all
24,2019,2019,MAR,MAR,91,all,all,Accompanied Minors,all
25,2020,2020,MAR,MAR,40,all,all,Accompanied Minors,all
26,2021 (FYTD),2021 (FYTD),MAR,MAR,159,all,all,Accompanied Minors,all
27,2018,2018,FEB,FEB,127,all,all,Accompanied Minors,all
28,2019,2019,FEB,FEB,76,all,all,Accompanied Minors,all
29,2020,2020,FEB,FEB,38,all,all,Accompanied Minors,all
30,2021 (FYTD),2021 (FYTD),FEB,FEB,145,all,all,Accompanied Minors,all
31,2018,2018,JAN,JAN,89,all,all,Accompanied Minors,all
32,2019,2019,JAN,JAN,70,all,all,Accompanied Minors,all
33,2020,2020,JAN,JAN,33,all,all,Accompanied Minors,all
34,2021 (FYTD),2021 (FYTD),JAN,JAN,105,all,all,Accompanied Minors,all
35,2018,2018,DEC,DEC,132,all,all,Accompanied Minors,all
36,2019,2019,DEC,DEC,81,all,all,Accompanied Minors,all
37,2020,2020,DEC,DEC,61,all,all,Accompanied Minors,all
38,2021 (FYTD),2021 (FYTD),DEC,DEC,87,all,all,Accompanied Minors,all
39,2018,2018,NOV,NOV,95,all,all,Accompanied Minors,all
40,2019,2019,NOV,NOV,70,all,all,Accompanied Minors,all
41,2020,2020,NOV,NOV,53,all,all,Accompanied Minors,all
42,2021 (FYTD),2021 (FYTD),NOV,NOV,89,all,all,Accompanied Minors,all
43,2018,2018,OCT,OCT,120,all,all,Accompanied Minors,all
44,2019,2019,OCT,OCT,86,all,all,Accompanied Minors,all
45,2020,2020,OCT,OCT,102,all,all,Accompanied Minors,all
46,2021 (FYTD),2021 (FYTD),OCT,OCT,112,all,all,Accompanied Minors,all
0,2018,2018,SEP,SEP,93,all,all,Accompanied Minors,Title 8
1,2019,2019,SEP,SEP,74,all,all,Accompanied Minors,Title 8
2,2020,2020,SEP,SEP,7,all,all,Accompanied Minors,Title 8
3,2018,2018,AUG,AUG,100,all,all,Accompanied Minors,Title 8
4,2019,2019,AUG,AUG,86,all,all,Accompanied Minors,Title 8
5,2020,2020,AUG,AUG,20,all,all,Accompanied Minors,Title 8
6,2021 (FYTD),2021 (FYTD),AUG,AUG,171,all,all,Accompanied Minors,Title 8
7,2018,2018,JUL,JUL,121,all,all,Accompanied Minors,Title 8
8,2019,2019,JUL,JUL,87,all,all,Accompanied Minors,Title 8
9,2020,2020,JUL,JUL,7,all,all,Accompanied Minors,Title 8
10,2021 (FYTD),2021 (FYTD),JUL,JUL,28,all,all,Accompanied Minors,Title 8
11,2018,2018,JUN,JUN,118,all,all,Accompanied Minors,Title 8
12,2019,2019,JUN,JUN,68,all,all,Accompanied Minors,Title 8
13,2020,2020,JUN,JUN,6,all,all,Accompanied Minors,Title 8
14,2021 (FYTD),2021 (FYTD),JUN,JUN,41,all,all,Accompanied Minors,Title 8
15,2018,2018,MAY,MAY,119,all,all,Accompanied Minors,Title 8
16,2019,2019,MAY,MAY,70,all,all,Accompanied Minors,Title 8
17,2020,2020,MAY,MAY,7,all,all,Accompanied Minors,Title 8
18,2021 (FYTD),2021 (FYTD),MAY,MAY,40,all,all,Accompanied Minors,Title 8
19,2018,2018,APR,APR,130,all,all,Accompanied Minors,Title 8
20,2019,2019,APR,APR,92,all,all,Accompanied Minors,Title 8
21,2020,2020,APR,APR,4,all,all,Accompanied Minors,Title 8
22,2021 (FYTD),2021 (FYTD),APR,APR,42,all,all,Accompanied Minors,Title 8
23,2018,2018,MAR,MAR,138,all,all,Accompanied Minors,Title 8
24,2019,2019,MAR,MAR,91,all,all,Accompanied Minors,Title 8
25,2020,2020,MAR,MAR,39,all,all,Accompanied Minors,Title 8
26,2021 (FYTD),2021 (FYTD),MAR,MAR,62,all,all,Accompanied Minors,Title 8
27,2018,2018,FEB,FEB,127,all,all,Accompanied Minors,Title 8
28,2019,2019,FEB,FEB,76,all,all,Accompanied Minors,Title 8
29,2020,2020,FEB,FEB,38,all,all,Accompanied Minors,Title 8
30,2021 (FYTD),2021 (FYTD),FEB,FEB,55,all,all,Accompanied Minors,Title 8
31,2018,2018,JAN,JAN,89,all,all,Accompanied Minors,Title 8
32,2019,2019,JAN,JAN,70,all,all,Accompanied Minors,Title 8
33,2020,2020,JAN,JAN,33,all,all,Accompanied Minors,Title 8
34,2021 (FYTD),2021 (FYTD),JAN,JAN,19,all,all,Accompanied Minors,Title 8
35,2018,2018,DEC,DEC,132,all,all,Accompanied Minors,Title 8
36,2019,2019,DEC,DEC,81,all,all,Accompanied Minors,Title 8
37,2020,2020,DEC,DEC,61,all,all,Accompanied Minors,Title 8
38,2021 (FYTD),2021 (FYTD),DEC,DEC,23,all,all,Accompanied Minors,Title 8
39,2018,2018,NOV,NOV,95,all,all,Accompanied Minors,Title 8
40,2019,2019,NOV,NOV,70,all,all,Accompanied Minors,Title 8
41,2020,2020,NOV,NOV,53,all,all,Accompanied Minors,Title 8
42,2021 (FYTD),2021 (FYTD),NOV,NOV,7,all,all,Accompanied Minors,Title 8
43,2018,2018,OCT,OCT,120,all,all,Accompanied Minors,Title 8
44,2019,2019,OCT,OCT,86,all,all,Accompanied Minors,Title 8
45,2020,2020,OCT,OCT,102,all,all,Accompanied Minors,Title 8
46,2021 (FYTD),2021 (FYTD),OCT,OCT,11,all,all,Accompanied Minors,Title 8
0,2020,2020,SEP,SEP,80,all,all,Accompanied Minors,Title 42
1,2020,2020,AUG,AUG,81,all,all,Accompanied Minors,Title 42
2,2021 (FYTD),2021 (FYTD),AUG,AUG,253,all,all,Accompanied Minors,Title 42
3,2020,2020,JUL,JUL,61,all,all,Accompanied Minors,Title 42
4,2021 (FYTD),2021 (FYTD),JUL,JUL,277,all,all,Accompanied Minors,Title 42
5,2020,2020,JUN,JUN,50,all,all,Accompanied Minors,Title 42
6,2021 (FYTD),2021 (FYTD),JUN,JUN,128,all,all,Accompanied Minors,Title 42
7,2020,2020,MAY,MAY,23,all,all,Accompanied Minors,Title 42
8,2021 (FYTD),2021 (FYTD),MAY,MAY,115,all,all,Accompanied Minors,Title 42
9,2020,2020,APR,APR,14,all,all,Accompanied Minors,Title 42
10,2021 (FYTD),2021 (FYTD),APR,APR,92,all,all,Accompanied Minors,Title 42
11,2020,2020,MAR,MAR,1,all,all,Accompanied Minors,Title 42
12,2021 (FYTD),2021 (FYTD),MAR,MAR,97,all,all,Accompanied Minors,Title 42
13,2021 (FYTD),2021 (FYTD),FEB,FEB,90,all,all,Accompanied Minors,Title 42
14,2021 (FYTD),2021 (FYTD),JAN,JAN,86,all,all,Accompanied Minors,Title 42
15,2021 (FYTD),2021 (FYTD),DEC,DEC,64,all,all,Accompanied Minors,Title 42
16,2021 (FYTD),2021 (FYTD),NOV,NOV,82,all,all,Accompanied Minors,Title 42
17,2021 (FYTD),2021 (FYTD),OCT,OCT,101,all,all,Accompanied Minors,Title 42
0,2018,2018,SEP,SEP,20120,all,all,FMUA,all
1,2019,2019,SEP,SEP,22010,all,all,FMUA,all
2,2020,2020,SEP,SEP,3894,all,all,FMUA,all
3,2018,2018,AUG,AUG,16483,all,all,FMUA,all
4,2019,2019,AUG,AUG,30529,all,all,FMUA,all
5,2020,2020,AUG,AUG,2715,all,all,FMUA,all
6,2021 (FYTD),2021 (FYTD),AUG,AUG,86487,all,all,FMUA,all
7,2018,2018,JUL,JUL,12904,all,all,FMUA,all
8,2019,2019,JUL,JUL,46791,all,all,FMUA,all
9,2020,2020,JUL,JUL,2050,all,all,FMUA,all
10,2021 (FYTD),2021 (FYTD),JUL,JUL,83493,all,all,FMUA,all
11,2018,2018,JUN,JUN,13074,all,all,FMUA,all
12,2019,2019,JUN,JUN,60962,all,all,FMUA,all
13,2020,2020,JUN,JUN,1679,all,all,FMUA,all
14,2021 (FYTD),2021 (FYTD),JUN,JUN,55893,all,all,FMUA,all
15,2018,2018,MAY,MAY,14808,all,all,FMUA,all
16,2019,2019,MAY,MAY,88587,all,all,FMUA,all
17,2020,2020,MAY,MAY,1052,all,all,FMUA,all
18,2021 (FYTD),2021 (FYTD),MAY,MAY,44742,all,all,FMUA,all
19,2018,2018,APR,APR,15948,all,all,FMUA,all
20,2019,2019,APR,APR,62313,all,all,FMUA,all
21,2020,2020,APR,APR,738,all,all,FMUA,all
22,2021 (FYTD),2021 (FYTD),APR,APR,50097,all,all,FMUA,all
23,2018,2018,MAR,MAR,14742,all,all,FMUA,all
24,2019,2019,MAR,MAR,57419,all,all,FMUA,all
25,2020,2020,MAR,MAR,4635,all,all,FMUA,all
26,2021 (FYTD),2021 (FYTD),MAR,MAR,54132,all,all,FMUA,all
27,2018,2018,FEB,FEB,9979,all,all,FMUA,all
28,2019,2019,FEB,FEB,40740,all,all,FMUA,all
29,2020,2020,FEB,FEB,7117,all,all,FMUA,all
30,2021 (FYTD),2021 (FYTD),FEB,FEB,19590,all,all,FMUA,all
31,2018,2018,JAN,JAN,9760,all,all,FMUA,all
32,2019,2019,JAN,JAN,28417,all,all,FMUA,all
33,2020,2020,JAN,JAN,8198,all,all,FMUA,all
34,2021 (FYTD),2021 (FYTD),JAN,JAN,7296,all,all,FMUA,all
35,2018,2018,DEC,DEC,13543,all,all,FMUA,all
36,2019,2019,DEC,DEC,31897,all,all,FMUA,all
37,2020,2020,DEC,DEC,12053,all,all,FMUA,all
38,2021 (FYTD),2021 (FYTD),DEC,DEC,4406,all,all,FMUA,all
39,2018,2018,NOV,NOV,11285,all,all,FMUA,all
40,2019,2019,NOV,NOV,30153,all,all,FMUA,all
41,2020,2020,NOV,NOV,13144,all,all,FMUA,all
42,2021 (FYTD),2021 (FYTD),NOV,NOV,4302,all,all,FMUA,all
43,2018,2018,OCT,OCT,8467,all,all,FMUA,all
44,2019,2019,OCT,OCT,27294,all,all,FMUA,all
45,2020,2020,OCT,OCT,13719,all,all,FMUA,all
46,2021 (FYTD),2021 (FYTD),OCT,OCT,4747,all,all,FMUA,all
0,2018,2018,SEP,SEP,20120,all,all,FMUA,Title 8
1,2019,2019,SEP,SEP,22010,all,all,FMUA,Title 8
2,2020,2020,SEP,SEP,899,all,all,FMUA,Title 8
3,2018,2018,AUG,AUG,16483,all,all,FMUA,Title 8
4,2019,2019,AUG,AUG,30529,all,all,FMUA,Title 8
5,2020,2020,AUG,AUG,528,all,all,FMUA,Title 8
6,2021 (FYTD),2021 (FYTD),AUG,AUG,70247,all,all,FMUA,Title 8
7,2018,2018,JUL,JUL,12904,all,all,FMUA,Title 8
8,2019,2019,JUL,JUL,46791,all,all,FMUA,Title 8
9,2020,2020,JUL,JUL,487,all,all,FMUA,Title 8
10,2021 (FYTD),2021 (FYTD),JUL,JUL,73390,all,all,FMUA,Title 8
11,2018,2018,JUN,JUN,13074,all,all,FMUA,Title 8
12,2019,2019,JUN,JUN,60962,all,all,FMUA,Title 8
13,2020,2020,JUN,JUN,372,all,all,FMUA,Title 8
14,2021 (FYTD),2021 (FYTD),JUN,JUN,47864,all,all,FMUA,Title 8
15,2018,2018,MAY,MAY,14808,all,all,FMUA,Title 8
16,2019,2019,MAY,MAY,88587,all,all,FMUA,Title 8
17,2020,2020,MAY,MAY,181,all,all,FMUA,Title 8
18,2021 (FYTD),2021 (FYTD),MAY,MAY,35422,all,all,FMUA,Title 8
19,2018,2018,APR,APR,15948,all,all,FMUA,Title 8
20,2019,2019,APR,APR,62313,all,all,FMUA,Title 8
21,2020,2020,APR,APR,108,all,all,FMUA,Title 8
22,2021 (FYTD),2021 (FYTD),APR,APR,32163,all,all,FMUA,Title 8
23,2018,2018,MAR,MAR,14742,all,all,FMUA,Title 8
24,2019,2019,MAR,MAR,57419,all,all,FMUA,Title 8
25,2020,2020,MAR,MAR,4138,all,all,FMUA,Title 8
26,2021 (FYTD),2021 (FYTD),MAR,MAR,32560,all,all,FMUA,Title 8
27,2018,2018,FEB,FEB,9979,all,all,FMUA,Title 8
28,2019,2019,FEB,FEB,40740,all,all,FMUA,Title 8
29,2020,2020,FEB,FEB,7117,all,all,FMUA,Title 8
30,2021 (FYTD),2021 (FYTD),FEB,FEB,10112,all,all,FMUA,Title 8
31,2018,2018,JAN,JAN,9760,all,all,FMUA,Title 8
32,2019,2019,JAN,JAN,28417,all,all,FMUA,Title 8
33,2020,2020,JAN,JAN,8198,all,all,FMUA,Title 8
34,2021 (FYTD),2021 (FYTD),JAN,JAN,2750,all,all,FMUA,Title 8
35,2018,2018,DEC,DEC,13543,all,all,FMUA,Title 8
36,2019,2019,DEC,DEC,31897,all,all,FMUA,Title 8
37,2020,2020,DEC,DEC,12053,all,all,FMUA,Title 8
38,2021 (FYTD),2021 (FYTD),DEC,DEC,1074,all,all,FMUA,Title 8
39,2018,2018,NOV,NOV,11285,all,all,FMUA,Title 8
40,2019,2019,NOV,NOV,30153,all,all,FMUA,Title 8
41,2020,2020,NOV,NOV,13144,all,all,FMUA,Title 8
42,2021 (FYTD),2021 (FYTD),NOV,NOV,661,all,all,FMUA,Title 8
43,2018,2018,OCT,OCT,8467,all,all,FMUA,Title 8
44,2019,2019,OCT,OCT,27294,all,all,FMUA,Title 8
45,2020,2020,OCT,OCT,13719,all,all,FMUA,Title 8
46,2021 (FYTD),2021 (FYTD),OCT,OCT,526,all,all,FMUA,Title 8
0,2020,2020,SEP,SEP,2995,all,all,FMUA,Title 42
1,2020,2020,AUG,AUG,2187,all,all,FMUA,Title 42
2,2021 (FYTD),2021 (FYTD),AUG,AUG,16240,all,all,FMUA,Title 42
3,2020,2020,JUL,JUL,1563,all,all,FMUA,Title 42
4,2021 (FYTD),2021 (FYTD),JUL,JUL,10103,all,all,FMUA,Title 42
5,2020,2020,JUN,JUN,1307,all,all,FMUA,Title 42
6,2021 (FYTD),2021 (FYTD),JUN,JUN,8029,all,all,FMUA,Title 42
7,2020,2020,MAY,MAY,871,all,all,FMUA,Title 42
8,2021 (FYTD),2021 (FYTD),MAY,MAY,9320,all,all,FMUA,Title 42
9,2020,2020,APR,APR,630,all,all,FMUA,Title 42
10,2021 (FYTD),2021 (FYTD),APR,APR,17934,all,all,FMUA,Title 42
11,2020,2020,MAR,MAR,497,all,all,FMUA,Title 42
12,2021 (FYTD),2021 (FYTD),MAR,MAR,21572,all,all,FMUA,Title 42
13,2021 (FYTD),2021 (FYTD),FEB,FEB,9478,all,all,FMUA,Title 42
14,2021 (FYTD),2021 (FYTD),JAN,JAN,4546,all,all,FMUA,Title 42
15,2021 (FYTD),2021 (FYTD),DEC,DEC,3332,all,all,FMUA,Title 42
16,2021 (FYTD),2021 (FYTD),NOV,NOV,3641,all,all,FMUA,Title 42
17,2021 (FYTD),2021 (FYTD),OCT,OCT,4221,all,all,FMUA,Title 42
0,2018,2018,SEP,SEP,25536,all,all,Single Adults,all
1,2019,2019,SEP,SEP,26919,all,all,Single Adults,all
2,2020,2020,SEP,SEP,49810,all,all,Single Adults,all
3,2018,2018,AUG,AUG,25256,all,all,Single Adults,all
4,2019,2019,AUG,AUG,27973,all,all,Single Adults,all
5,2020,2020,AUG,AUG,44095,all,all,Single Adults,all
6,2021 (FYTD),2021 (FYTD),AUG,AUG,103129,all,all,Single Adults,all
7,2018,2018,JUL,JUL,22718,all,all,Single Adults,all
8,2019,2019,JUL,JUL,29053,all,all,Single Adults,all
9,2020,2020,JUL,JUL,36302,all,all,Single Adults,all
10,2021 (FYTD),2021 (FYTD),JUL,JUL,110778,all,all,Single Adults,all
11,2018,2018,JUN,JUN,24382,all,all,Single Adults,all
12,2019,2019,JUN,JUN,35603,all,all,Single Adults,all
13,2020,2020,JUN,JUN,29623,all,all,Single Adults,all
14,2021 (FYTD),2021 (FYTD),JUN,JUN,117726,all,all,Single Adults,all
15,2018,2018,MAY,MAY,29743,all,all,Single Adults,all
16,2019,2019,MAY,MAY,43598,all,all,Single Adults,all
17,2020,2020,MAY,MAY,21147,all,all,Single Adults,all
18,2021 (FYTD),2021 (FYTD),MAY,MAY,121612,all,all,Single Adults,all
19,2018,2018,APR,APR,29759,all,all,Single Adults,all
20,2019,2019,APR,APR,37745,all,all,Single Adults,all
21,2020,2020,APR,APR,15609,all,all,Single Adults,all
22,2021 (FYTD),2021 (FYTD),APR,APR,111501,all,all,Single Adults,all
23,2018,2018,MAR,MAR,30223,all,all,Single Adults,all
24,2019,2019,MAR,MAR,36841,all,all,Single Adults,all
25,2020,2020,MAR,MAR,26564,all,all,Single Adults,all
26,2021 (FYTD),2021 (FYTD),MAR,MAR,100118,all,all,Single Adults,all
27,2018,2018,FEB,FEB,22886,all,all,Single Adults,all
28,2019,2019,FEB,FEB,28486,all,all,Single Adults,all
29,2020,2020,FEB,FEB,26042,all,all,Single Adults,all
30,2021 (FYTD),2021 (FYTD),FEB,FEB,71961,all,all,Single Adults,all
31,2018,2018,JAN,JAN,22134,all,all,Single Adults,all
32,2019,2019,JAN,JAN,24315,all,all,Single Adults,all
33,2020,2020,JAN,JAN,25278,all,all,Single Adults,all
34,2021 (FYTD),2021 (FYTD),JAN,JAN,65193,all,all,Single Adults,all
35,2018,2018,DEC,DEC,21849,all,all,Single Adults,all
36,2019,2019,DEC,DEC,23712,all,all,Single Adults,all
37,2020,2020,DEC,DEC,24812,all,all,Single Adults,all
38,2021 (FYTD),2021 (FYTD),DEC,DEC,64537,all,all,Single Adults,all
39,2018,2018,NOV,NOV,22973,all,all,Single Adults,all
40,2019,2019,NOV,NOV,26584,all,all,Single Adults,all
41,2020,2020,NOV,NOV,25769,all,all,Single Adults,all
42,2021 (FYTD),2021 (FYTD),NOV,NOV,63131,all,all,Single Adults,all
43,2018,2018,OCT,OCT,22476,all,all,Single Adults,all
44,2019,2019,OCT,OCT,27983,all,all,Single Adults,all
45,2020,2020,OCT,OCT,28117,all,all,Single Adults,all
46,2021 (FYTD),2021 (FYTD),OCT,OCT,62274,all,all,Single Adults,all
0,2018,2018,SEP,SEP,25536,all,all,Single Adults,Title 8
1,2019,2019,SEP,SEP,26919,all,all,Single Adults,Title 8
2,2020,2020,SEP,SEP,5414,all,all,Single Adults,Title 8
3,2018,2018,AUG,AUG,25256,all,all,Single Adults,Title 8
4,2019,2019,AUG,AUG,27973,all,all,Single Adults,Title 8
5,2020,2020,AUG,AUG,4513,all,all,Single Adults,Title 8
6,2021 (FYTD),2021 (FYTD),AUG,AUG,26234,all,all,Single Adults,Title 8
7,2018,2018,JUL,JUL,22718,all,all,Single Adults,Title 8
8,2019,2019,JUL,JUL,29053,all,all,Single Adults,Title 8
9,2020,2020,JUL,JUL,3352,all,all,Single Adults,Title 8
10,2021 (FYTD),2021 (FYTD),JUL,JUL,24954,all,all,Single Adults,Title 8
11,2018,2018,JUN,JUN,24382,all,all,Single Adults,Title 8
12,2019,2019,JUN,JUN,35603,all,all,Single Adults,Title 8
