Fiscal Year-value,Fiscal Year-alias,Month (abbv)-value,Month (abbv)-alias,SUM(Encounter Count)-alias,Citizenship Grouping,Component,Demographic,Title of Authority
2019,2019,JUL,JUL,"81,777",all,all,all,Title 8
2020,2020,JUL,JUL,"4,058",all,all,all,Title 8
2021,2021,JUL,JUL,"117,341",all,all,all,Title 8
2022 (FYTD),2022 (FYTD),JUL,JUL,"124,021",all,all,all,Title 8
2019,2019,JUN,JUN,"104,311",all,all,all,Title 8
2020,2020,JUN,JUN,"3,220",all,all,all,Title 8
2021,2021,JUN,JUN,"84,106",all,all,all,Title 8
2022 (FYTD),2022 (FYTD),JUN,JUN,"113,331",all,all,all,Title 8
2019,2019,MAY,MAY,"144,116",all,all,all,Title 8
2020,2020,MAY,MAY,"2,342",all,all,all,Title 8
2021,2021,MAY,MAY,"67,205",all,all,all,Title 8
2022 (FYTD),2022 (FYTD),MAY,MAY,"135,477",all,all,all,Title 8
2019,2019,APR,APR,"109,415",all,all,all,Title 8
2020,2020,APR,APR,"1,584",all,all,all,Title 8
2021,2021,APR,APR,"66,205",all,all,all,Title 8
2022 (FYTD),2022 (FYTD),APR,APR,"135,404",all,all,all,Title 8
2019,2019,MAR,MAR,"103,731",all,all,all,Title 8
2020,2020,MAR,MAR,"27,310",all,all,all,Title 8
2021,2021,MAR,MAR,"64,028",all,all,all,Title 8
2022 (FYTD),2022 (FYTD),MAR,MAR,"110,582",all,all,all,Title 8
2019,2019,FEB,FEB,"76,545",all,all,all,Title 8
2020,2020,FEB,FEB,"36,687",all,all,all,Title 8
2021,2021,FEB,FEB,"26,834",all,all,all,Title 8
2022 (FYTD),2022 (FYTD),FEB,FEB,"72,911",all,all,all,Title 8
2019,2019,JAN,JAN,"58,317",all,all,all,Title 8
2020,2020,JAN,JAN,"36,585",all,all,all,Title 8
2021,2021,JAN,JAN,"14,110",all,all,all,Title 8
2022 (FYTD),2022 (FYTD),JAN,JAN,"75,209",all,all,all,Title 8
2019,2019,DEC,DEC,"60,794",all,all,all,Title 8
2020,2020,DEC,DEC,"40,565",all,all,all,Title 8
2021,2021,DEC,DEC,"11,652",all,all,all,Title 8
2022 (FYTD),2022 (FYTD),DEC,DEC,"97,099",all,all,all,Title 8
2019,2019,NOV,NOV,"62,469",all,all,all,Title 8
2020,2020,NOV,NOV,"42,643",all,all,all,Title 8
2021,2021,NOV,NOV,"8,883",all,all,all,Title 8
2022 (FYTD),2022 (FYTD),NOV,NOV,"84,656",all,all,all,Title 8
2019,2019,OCT,OCT,"60,781",all,all,all,Title 8
2020,2020,OCT,OCT,"45,139",all,all,all,Title 8
2021,2021,OCT,OCT,"7,035",all,all,all,Title 8
2022 (FYTD),2022 (FYTD),OCT,OCT,"70,314",all,all,all,Title 8
2020,2020,SEP,SEP,"50,067",all,all,all,Title 42
2021,2021,SEP,SEP,"102,673",all,all,all,Title 42
2020,2020,AUG,AUG,"44,453",all,all,all,Title 42
2021,2021,AUG,AUG,"95,407",all,all,all,Title 42
2022 (FYTD),2022 (FYTD),AUG,AUG,"73,152",all,all,all,Title 42
2020,2020,JUL,JUL,"36,871",all,all,all,Title 42
2021,2021,JUL,JUL,"96,252",all,all,all,Title 42
2022 (FYTD),2022 (FYTD),JUL,JUL,"76,174",all,all,all,Title 42
2020,2020,JUN,JUN,"29,829",all,all,all,Title 42
2021,2021,JUN,JUN,"104,928",all,all,all,Title 42
2022 (FYTD),2022 (FYTD),JUN,JUN,"94,655",all,all,all,Title 42
2020,2020,MAY,MAY,"20,895",all,all,all,Title 42
2021,2021,MAY,MAY,"113,392",all,all,all,Title 42
2022 (FYTD),2022 (FYTD),MAY,MAY,"105,689",all,all,all,Title 42
2020,2020,APR,APR,"15,522",all,all,all,Title 42
2021,2021,APR,APR,"112,590",all,all,all,Title 42
2022 (FYTD),2022 (FYTD),APR,APR,"100,302",all,all,all,Title 42
2020,2020,MAR,MAR,"7,150",all,all,all,Title 42
2021,2021,MAR,MAR,"109,249",all,all,all,Title 42
2022 (FYTD),2022 (FYTD),MAR,MAR,"111,751",all,all,all,Title 42
2021,2021,FEB,FEB,"74,265",all,all,all,Title 42
2022 (FYTD),2022 (FYTD),FEB,FEB,"92,992",all,all,all,Title 42
2021,2021,JAN,JAN,"64,304",all,all,all,Title 42
2022 (FYTD),2022 (FYTD),JAN,JAN,"79,604",all,all,all,Title 42
2021,2021,DEC,DEC,"62,342",all,all,all,Title 42
2022 (FYTD),2022 (FYTD),DEC,DEC,"82,153",all,all,all,Title 42
2021,2021,NOV,NOV,"63,230",all,all,all,Title 42
2022 (FYTD),2022 (FYTD),NOV,NOV,"90,190",all,all,all,Title 42
2021,2021,OCT,OCT,"64,894",all,all,all,Title 42
2022 (FYTD),2022 (FYTD),OCT,OCT,"94,528",all,all,all,Title 42
2019,2019,SEP,SEP,74.0,all,all,Accompanied Minors,all
2020,2020,SEP,SEP,87.0,all,all,Accompanied Minors,all
2021,2021,SEP,SEP,225.0,all,all,Accompanied Minors,all
2019,2019,AUG,AUG,86.0,all,all,Accompanied Minors,all
2020,2020,AUG,AUG,101.0,all,all,Accompanied Minors,all
2021,2021,AUG,AUG,423.0,all,all,Accompanied Minors,all
2022 (FYTD),2022 (FYTD),AUG,AUG,297.0,all,all,Accompanied Minors,all
2019,2019,JUL,JUL,87.0,all,all,Accompanied Minors,all
2020,2020,JUL,JUL,68.0,all,all,Accompanied Minors,all
2021,2021,JUL,JUL,305.0,all,all,Accompanied Minors,all
2022 (FYTD),2022 (FYTD),JUL,JUL,275.0,all,all,Accompanied Minors,all
2019,2019,JUN,JUN,68.0,all,all,Accompanied Minors,all
2020,2020,JUN,JUN,56.0,all,all,Accompanied Minors,all
2021,2021,JUN,JUN,169.0,all,all,Accompanied Minors,all
2022 (FYTD),2022 (FYTD),JUN,JUN,171.0,all,all,Accompanied Minors,all
2019,2019,MAY,MAY,70.0,all,all,Accompanied Minors,all
2020,2020,MAY,MAY,30.0,all,all,Accompanied Minors,all
2021,2021,MAY,MAY,155.0,all,all,Accompanied Minors,all
2022 (FYTD),2022 (FYTD),MAY,MAY,235.0,all,all,Accompanied Minors,all
2019,2019,APR,APR,92.0,all,all,Accompanied Minors,all
2020,2020,APR,APR,18.0,all,all,Accompanied Minors,all
2021,2021,APR,APR,134.0,all,all,Accompanied Minors,all
2022 (FYTD),2022 (FYTD),APR,APR,285.0,all,all,Accompanied Minors,all
2019,2019,MAR,MAR,91.0,all,all,Accompanied Minors,all
2020,2020,MAR,MAR,40.0,all,all,Accompanied Minors,all
2021,2021,MAR,MAR,159.0,all,all,Accompanied Minors,all
2022 (FYTD),2022 (FYTD),MAR,MAR,256.0,all,all,Accompanied Minors,all
2019,2019,FEB,FEB,76.0,all,all,Accompanied Minors,all
2020,2020,FEB,FEB,38.0,all,all,Accompanied Minors,all
2021,2021,FEB,FEB,145.0,all,all,Accompanied Minors,all
2022 (FYTD),2022 (FYTD),FEB,FEB,229.0,all,all,Accompanied Minors,all
2019,2019,JAN,JAN,70.0,all,all,Accompanied Minors,all
2020,2020,JAN,JAN,33.0,all,all,Accompanied Minors,all
2021,2021,JAN,JAN,105.0,all,all,Accompanied Minors,all
2022 (FYTD),2022 (FYTD),JAN,JAN,239.0,all,all,Accompanied Minors,all
2019,2019,DEC,DEC,81.0,all,all,Accompanied Minors,all
2020,2020,DEC,DEC,61.0,all,all,Accompanied Minors,all
2021,2021,DEC,DEC,87.0,all,all,Accompanied Minors,all
2022 (FYTD),2022 (FYTD),DEC,DEC,305.0,all,all,Accompanied Minors,all
2019,2019,NOV,NOV,70.0,all,all,Accompanied Minors,all
2020,2020,NOV,NOV,53.0,all,all,Accompanied Minors,all
2021,2021,NOV,NOV,89.0,all,all,Accompanied Minors,all
2022 (FYTD),2022 (FYTD),NOV,NOV,303.0,all,all,Accompanied Minors,all
2019,2019,OCT,OCT,86.0,all,all,Accompanied Minors,all
2020,2020,OCT,OCT,102.0,all,all,Accompanied Minors,all
2021,2021,OCT,OCT,112.0,all,all,Accompanied Minors,all
2022 (FYTD),2022 (FYTD),OCT,OCT,187.0,all,all,Accompanied Minors,all
2019,2019,SEP,SEP,74.0,all,all,Accompanied Minors,Title 8
2020,2020,SEP,SEP,7.0,all,all,Accompanied Minors,Title 8
2021,2021,SEP,SEP,63.0,all,all,Accompanied Minors,Title 8
2019,2019,AUG,AUG,86.0,all,all,Accompanied Minors,Title 8
2020,2020,AUG,AUG,20.0,all,all,Accompanied Minors,Title 8
2021,2021,AUG,AUG,146.0,all,all,Accompanied Minors,Title 8
2022 (FYTD),2022 (FYTD),AUG,AUG,79.0,all,all,Accompanied Minors,Title 8
2019,2019,JUL,JUL,87.0,all,all,Accompanied Minors,Title 8
2020,2020,JUL,JUL,7.0,all,all,Accompanied Minors,Title 8
2021,2021,JUL,JUL,28.0,all,all,Accompanied Minors,Title 8
2022 (FYTD),2022 (FYTD),JUL,JUL,76.0,all,all,Accompanied Minors,Title 8
2019,2019,JUN,JUN,68.0,all,all,Accompanied Minors,Title 8
2020,2020,JUN,JUN,6.0,all,all,Accompanied Minors,Title 8
2021,2021,JUN,JUN,41.0,all,all,Accompanied Minors,Title 8
2022 (FYTD),2022 (FYTD),JUN,JUN,61.0,all,all,Accompanied Minors,Title 8
2019,2019,MAY,MAY,70.0,all,all,Accompanied Minors,Title 8
2020,2020,MAY,MAY,7.0,all,all,Accompanied Minors,Title 8
2021,2021,MAY,MAY,40.0,all,all,Accompanied Minors,Title 8
2022 (FYTD),2022 (FYTD),MAY,MAY,39.0,all,all,Accompanied Minors,Title 8
2019,2019,APR,APR,92.0,all,all,Accompanied Minors,Title 8
2020,2020,APR,APR,4.0,all,all,Accompanied Minors,Title 8
2021,2021,APR,APR,42.0,all,all,Accompanied Minors,Title 8
2022 (FYTD),2022 (FYTD),APR,APR,80.0,all,all,Accompanied Minors,Title 8
2019,2019,MAR,MAR,91.0,all,all,Accompanied Minors,Title 8
2020,2020,MAR,MAR,39.0,all,all,Accompanied Minors,Title 8
2021,2021,MAR,MAR,62.0,all,all,Accompanied Minors,Title 8
2022 (FYTD),2022 (FYTD),MAR,MAR,49.0,all,all,Accompanied Minors,Title 8
2019,2019,FEB,FEB,76.0,all,all,Accompanied Minors,Title 8
2020,2020,FEB,FEB,38.0,all,all,Accompanied Minors,Title 8
2021,2021,FEB,FEB,55.0,all,all,Accompanied Minors,Title 8
2022 (FYTD),2022 (FYTD),FEB,FEB,44.0,all,all,Accompanied Minors,Title 8
2019,2019,JAN,JAN,70.0,all,all,Accompanied Minors,Title 8
2020,2020,JAN,JAN,33.0,all,all,Accompanied Minors,Title 8
2021,2021,JAN,JAN,19.0,all,all,Accompanied Minors,Title 8
2022 (FYTD),2022 (FYTD),JAN,JAN,65.0,all,all,Accompanied Minors,Title 8
2019,2019,DEC,DEC,81.0,all,all,Accompanied Minors,Title 8
2020,2020,DEC,DEC,61.0,all,all,Accompanied Minors,Title 8
2021,2021,DEC,DEC,23.0,all,all,Accompanied Minors,Title 8
2022 (FYTD),2022 (FYTD),DEC,DEC,74.0,all,all,Accompanied Minors,Title 8
2019,2019,NOV,NOV,70.0,all,all,Accompanied Minors,Title 8
2020,2020,NOV,NOV,53.0,all,all,Accompanied Minors,Title 8
2021,2021,NOV,NOV,7.0,all,all,Accompanied Minors,Title 8
2022 (FYTD),2022 (FYTD),NOV,NOV,80.0,all,all,Accompanied Minors,Title 8
2019,2019,OCT,OCT,86.0,all,all,Accompanied Minors,Title 8
2020,2020,OCT,OCT,102.0,all,all,Accompanied Minors,Title 8
2021,2021,OCT,OCT,11.0,all,all,Accompanied Minors,Title 8
2022 (FYTD),2022 (FYTD),OCT,OCT,68.0,all,all,Accompanied Minors,Title 8
2020,2020,SEP,SEP,80.0,all,all,Accompanied Minors,Title 42
2021,2021,SEP,SEP,162.0,all,all,Accompanied Minors,Title 42
2020,2020,AUG,AUG,81.0,all,all,Accompanied Minors,Title 42
2021,2021,AUG,AUG,277.0,all,all,Accompanied Minors,Title 42
2022 (FYTD),2022 (FYTD),AUG,AUG,218.0,all,all,Accompanied Minors,Title 42
2020,2020,JUL,JUL,61.0,all,all,Accompanied Minors,Title 42
2021,2021,JUL,JUL,277.0,all,all,Accompanied Minors,Title 42
2022 (FYTD),2022 (FYTD),JUL,JUL,199.0,all,all,Accompanied Minors,Title 42
2020,2020,JUN,JUN,50.0,all,all,Accompanied Minors,Title 42
2021,2021,JUN,JUN,128.0,all,all,Accompanied Minors,Title 42
2022 (FYTD),2022 (FYTD),JUN,JUN,110.0,all,all,Accompanied Minors,Title 42
2020,2020,MAY,MAY,23.0,all,all,Accompanied Minors,Title 42
2021,2021,MAY,MAY,115.0,all,all,Accompanied Minors,Title 42
2022 (FYTD),2022 (FYTD),MAY,MAY,196.0,all,all,Accompanied Minors,Title 42
2020,2020,APR,APR,14.0,all,all,Accompanied Minors,Title 42
2021,2021,APR,APR,92.0,all,all,Accompanied Minors,Title 42
2022 (FYTD),2022 (FYTD),APR,APR,205.0,all,all,Accompanied Minors,Title 42
2020,2020,MAR,MAR,1.0,all,all,Accompanied Minors,Title 42
2021,2021,MAR,MAR,97.0,all,all,Accompanied Minors,Title 42
2022 (FYTD),2022 (FYTD),MAR,MAR,207.0,all,all,Accompanied Minors,Title 42
2021,2021,FEB,FEB,90.0,all,all,Accompanied Minors,Title 42
2022 (FYTD),2022 (FYTD),FEB,FEB,185.0,all,all,Accompanied Minors,Title 42
2021,2021,JAN,JAN,86.0,all,all,Accompanied Minors,Title 42
2022 (FYTD),2022 (FYTD),JAN,JAN,174.0,all,all,Accompanied Minors,Title 42
2021,2021,DEC,DEC,64.0,all,all,Accompanied Minors,Title 42
2022 (FYTD),2022 (FYTD),DEC,DEC,231.0,all,all,Accompanied Minors,Title 42
2021,2021,NOV,NOV,82.0,all,all,Accompanied Minors,Title 42
2022 (FYTD),2022 (FYTD),NOV,NOV,223.0,all,all,Accompanied Minors,Title 42
2021,2021,OCT,OCT,101.0,all,all,Accompanied Minors,Title 42
2022 (FYTD),2022 (FYTD),OCT,OCT,119.0,all,all,Accompanied Minors,Title 42
2019,2019,SEP,SEP,"22,010",all,all,FMUA,all
2020,2020,SEP,SEP,"3,894",all,all,FMUA,all
2021,2021,SEP,SEP,"64,388",all,all,FMUA,all
2019,2019,AUG,AUG,"30,529",all,all,FMUA,all
2020,2020,AUG,AUG,"2,715",all,all,FMUA,all
2021,2021,AUG,AUG,"86,631",all,all,FMUA,all
2022 (FYTD),2022 (FYTD),AUG,AUG,"51,725",all,all,FMUA,all
2019,2019,JUL,JUL,"46,791",all,all,FMUA,all
2020,2020,JUL,JUL,"2,050",all,all,FMUA,all
2021,2021,JUL,JUL,"83,499",all,all,FMUA,all
2022 (FYTD),2022 (FYTD),JUL,JUL,"52,078",all,all,FMUA,all
2019,2019,JUN,JUN,"60,962",all,all,FMUA,all
2020,2020,JUN,JUN,"1,679",all,all,FMUA,all
2021,2021,JUN,JUN,"55,896",all,all,FMUA,all
2022 (FYTD),2022 (FYTD),JUN,JUN,"51,818",all,all,FMUA,all
2019,2019,MAY,MAY,"88,587",all,all,FMUA,all
2020,2020,MAY,MAY,"1,052",all,all,FMUA,all
2021,2021,MAY,MAY,"44,747",all,all,FMUA,all
2022 (FYTD),2022 (FYTD),MAY,MAY,"59,558",all,all,FMUA,all
2019,2019,APR,APR,"62,313",all,all,FMUA,all
2020,2020,APR,APR,738,all,all,FMUA,all
2021,2021,APR,APR,"50,094",all,all,FMUA,all
2022 (FYTD),2022 (FYTD),APR,APR,"55,136",all,all,FMUA,all
2019,2019,MAR,MAR,"57,419",all,all,FMUA,all
2020,2020,MAR,MAR,"4,635",all,all,FMUA,all
2021,2021,MAR,MAR,"54,132",all,all,FMUA,all
2022 (FYTD),2022 (FYTD),MAR,MAR,"37,918",all,all,FMUA,all
2019,2019,FEB,FEB,"40,740",all,all,FMUA,all
2020,2020,FEB,FEB,"7,117",all,all,FMUA,all
2021,2021,FEB,FEB,"19,590",all,all,FMUA,all
2022 (FYTD),2022 (FYTD),FEB,FEB,"26,723",all,all,FMUA,all
2019,2019,JAN,JAN,"28,417",all,all,FMUA,all
2020,2020,JAN,JAN,"8,198",all,all,FMUA,all
2021,2021,JAN,JAN,"7,296",all,all,FMUA,all
2022 (FYTD),2022 (FYTD),JAN,JAN,"32,003",all,all,FMUA,all
2019,2019,DEC,DEC,"31,897",all,all,FMUA,all
2020,2020,DEC,DEC,"12,053",all,all,FMUA,all
2021,2021,DEC,DEC,"4,406",all,all,FMUA,all
2022 (FYTD),2022 (FYTD),DEC,DEC,"51,746",all,all,FMUA,all
2019,2019,NOV,NOV,"30,153",all,all,FMUA,all
2020,2020,NOV,NOV,"13,144",all,all,FMUA,all
2021,2021,NOV,NOV,"4,302",all,all,FMUA,all
2022 (FYTD),2022 (FYTD),NOV,NOV,"45,061",all,all,FMUA,all
2019,2019,OCT,OCT,"27,294",all,all,FMUA,all
2020,2020,OCT,OCT,"13,719",all,all,FMUA,all
2021,2021,OCT,OCT,"4,747",all,all,FMUA,all
2022 (FYTD),2022 (FYTD),OCT,OCT,"42,803",all,all,FMUA,all
2019,2019,SEP,SEP,"22,010",all,all,FMUA,Title 8
2020,2020,SEP,SEP,899,all,all,FMUA,Title 8
2021,2021,SEP,SEP,"46,789",all,all,FMUA,Title 8
2019,2019,AUG,AUG,"30,529",all,all,FMUA,Title 8
2020,2020,AUG,AUG,528,all,all,FMUA,Title 8
2021,2021,AUG,AUG,"69,561",all,all,FMUA,Title 8
2022 (FYTD),2022 (FYTD),AUG,AUG,"45,609",all,all,FMUA,Title 8
2019,2019,JUL,JUL,"46,791",all,all,FMUA,Title 8
2020,2020,JUL,JUL,487,all,all,FMUA,Title 8
2021,2021,JUL,JUL,"73,389",all,all,FMUA,Title 8
2022 (FYTD),2022 (FYTD),JUL,JUL,"42,418",all,all,FMUA,Title 8
2019,2019,JUN,JUN,"60,962",all,all,FMUA,Title 8
2020,2020,JUN,JUN,372,all,all,FMUA,Title 8
2021,2021,JUN,JUN,"47,868",all,all,FMUA,Title 8
2022 (FYTD),2022 (FYTD),JUN,JUN,"37,555",all,all,FMUA,Title 8
2019,2019,MAY,MAY,"88,587",all,all,FMUA,Title 8
2020,2020,MAY,MAY,181,all,all,FMUA,Title 8
2021,2021,MAY,MAY,"35,427",all,all,FMUA,Title 8
2022 (FYTD),2022 (FYTD),MAY,MAY,"48,868",all,all,FMUA,Title 8
2019,2019,APR,APR,"62,313",all,all,FMUA,Title 8
2020,2020,APR,APR,108,all,all,FMUA,Title 8
2021,2021,APR,APR,"32,164",all,all,FMUA,Title 8
2022 (FYTD),2022 (FYTD),APR,APR,"47,544",all,all,FMUA,Title 8
2019,2019,MAR,MAR,"57,419",all,all,FMUA,Title 8
2020,2020,MAR,MAR,"4,138",all,all,FMUA,Title 8
2021,2021,MAR,MAR,"32,560",all,all,FMUA,Title 8
2022 (FYTD),2022 (FYTD),MAR,MAR,"29,991",all,all,FMUA,Title 8
2019,2019,FEB,FEB,"40,740",all,all,FMUA,Title 8
2020,2020,FEB,FEB,"7,117",all,all,FMUA,Title 8
2021,2021,FEB,FEB,"10,112",all,all,FMUA,Title 8
2022 (FYTD),2022 (FYTD),FEB,FEB,"18,708",all,all,FMUA,Title 8
2019,2019,JAN,JAN,"28,417",all,all,FMUA,Title 8
2020,2020,JAN,JAN,"8,198",all,all,FMUA,Title 8
2021,2021,JAN,JAN,"2,750",all,all,FMUA,Title 8
2022 (FYTD),2022 (FYTD),JAN,JAN,"23,520",all,all,FMUA,Title 8
2019,2019,DEC,DEC,"31,897",all,all,FMUA,Title 8
2020,2020,DEC,DEC,"12,053",all,all,FMUA,Title 8
2021,2021,DEC,DEC,"1,074",all,all,FMUA,Title 8
2022 (FYTD),2022 (FYTD),DEC,DEC,"39,841",all,all,FMUA,Title 8
2019,2019,NOV,NOV,"30,153",all,all,FMUA,Title 8
2020,2020,NOV,NOV,"13,144",all,all,FMUA,Title 8
2021,2021,NOV,NOV,661,all,all,FMUA,Title 8
2022 (FYTD),2022 (FYTD),NOV,NOV,"33,441",all,all,FMUA,Title 8
2019,2019,OCT,OCT,"27,294",all,all,FMUA,Title 8
2020,2020,OCT,OCT,"13,719",all,all,FMUA,Title 8
2021,2021,OCT,OCT,526,all,all,FMUA,Title 8
2022 (FYTD),2022 (FYTD),OCT,OCT,"29,393",all,all,FMUA,Title 8
2020,2020,SEP,SEP,"2,995",all,all,FMUA,Title 42
2021,2021,SEP,SEP,"17,599",all,all,FMUA,Title 42
2020,2020,AUG,AUG,"2,187",all,all,FMUA,Title 42
2021,2021,AUG,AUG,"17,070",all,all,FMUA,Title 42
2022 (FYTD),2022 (FYTD),AUG,AUG,"6,116",all,all,FMUA,Title 42
2020,2020,JUL,JUL,"1,563",all,all,FMUA,Title 42
2021,2021,JUL,JUL,"10,110",all,all,FMUA,Title 42
2022 (FYTD),2022 (FYTD),JUL,JUL,"9,660",all,all,FMUA,Title 42
2020,2020,JUN,JUN,"1,307",all,all,FMUA,Title 42
2021,2021,JUN,JUN,"8,028",all,all,FMUA,Title 42
2022 (FYTD),2022 (FYTD),JUN,JUN,"14,263",all,all,FMUA,Title 42
2020,2020,MAY,MAY,871,all,all,FMUA,Title 42
2021,2021,MAY,MAY,"9,320",all,all,FMUA,Title 42
2022 (FYTD),2022 (FYTD),MAY,MAY,"10,690",all,all,FMUA,Title 42
2020,2020,APR,APR,630,all,all,FMUA,Title 42
2021,2021,APR,APR,"17,930",all,all,FMUA,Title 42
2022 (FYTD),2022 (FYTD),APR,APR,"7,592",all,all,FMUA,Title 42
2020,2020,MAR,MAR,497,all,all,FMUA,Title 42
2021,2021,MAR,MAR,"21,572",all,all,FMUA,Title 42
2022 (FYTD),2022 (FYTD),MAR,MAR,"7,927",all,all,FMUA,Title 42
2021,2021,FEB,FEB,"9,478",all,all,FMUA,Title 42
2022 (FYTD),2022 (FYTD),FEB,FEB,"8,015",all,all,FMUA,Title 42
2021,2021,JAN,JAN,"4,546",all,all,FMUA,Title 42
2022 (FYTD),2022 (FYTD),JAN,JAN,"8,483",all,all,FMUA,Title 42
2021,2021,DEC,DEC,"3,332",all,all,FMUA,Title 42
2022 (FYTD),2022 (FYTD),DEC,DEC,"11,905",all,all,FMUA,Title 42
2021,2021,NOV,NOV,"3,641",all,all,FMUA,Title 42
2022 (FYTD),2022 (FYTD),NOV,NOV,"11,620",all,all,FMUA,Title 42
2021,2021,OCT,OCT,"4,221",all,all,FMUA,Title 42
2022 (FYTD),2022 (FYTD),OCT,OCT,"13,410",all,all,FMUA,Title 42
2019,2019,SEP,SEP,"26,919",all,all,Single Adults,all
2020,2020,SEP,SEP,"49,810",all,all,Single Adults,all
2021,2021,SEP,SEP,"113,030",all,all,Single Adults,all
2019,2019,AUG,AUG,"27,973",all,all,Single Adults,all
2020,2020,AUG,AUG,"44,095",all,all,Single Adults,all
2021,2021,AUG,AUG,"103,980",all,all,Single Adults,all
2022 (FYTD),2022 (FYTD),AUG,AUG,"140,210",all,all,Single Adults,all
2019,2019,JUL,JUL,"29,053",all,all,Single Adults,all
2020,2020,JUL,JUL,"36,302",all,all,Single Adults,all
2021,2021,JUL,JUL,"110,835",all,all,Single Adults,all
2022 (FYTD),2022 (FYTD),JUL,JUL,"134,564",all,all,Single Adults,all
2019,2019,JUN,JUN,"35,603",all,all,Single Adults,all
2020,2020,JUN,JUN,"29,623",all,all,Single Adults,all
2021,2021,JUN,JUN,"117,739",all,all,Single Adults,all
2022 (FYTD),2022 (FYTD),JUN,JUN,"140,743",all,all,Single Adults,all
2019,2019,MAY,MAY,"43,598",all,all,Single Adults,all
2020,2020,MAY,MAY,"21,147",all,all,Single Adults,all
2021,2021,MAY,MAY,"121,643",all,all,Single Adults,all
2022 (FYTD),2022 (FYTD),MAY,MAY,"166,699",all,all,Single Adults,all
2019,2019,APR,APR,"37,745",all,all,Single Adults,all
2020,2020,APR,APR,"15,609",all,all,Single Adults,all
2021,2021,APR,APR,"111,500",all,all,Single Adults,all
2022 (FYTD),2022 (FYTD),APR,APR,"168,115",all,all,Single Adults,all
2019,2019,MAR,MAR,"36,841",all,all,Single Adults,all
2020,2020,MAR,MAR,"26,564",all,all,Single Adults,all
2021,2021,MAR,MAR,"100,116",all,all,Single Adults,all
